,Last_Update,Province_State,Country_Region,Confirmed,Deaths,Confirmed_perday,Deaths_perday
24,2022-11-23 04:21:06,Antwerp,Belgium,746467,0,-247570.0,-7118.0
24,2022-11-24 04:21:09,Antwerp,Belgium,746467,0,0.0,0.0
24,2022-11-25 04:21:06,Antwerp,Belgium,747004,0,537.0,0.0
24,2022-11-26 04:21:11,Antwerp,Belgium,747004,0,0.0,0.0
24,2022-11-27 04:21:05,Antwerp,Belgium,747004,0,0.0,0.0
24,2022-11-28 04:21:02,Antwerp,Belgium,747004,0,0.0,0.0
24,2022-11-29 04:21:05,Antwerp,Belgium,747434,0,430.0,0.0
24,2022-11-30 04:21:07,Antwerp,Belgium,747434,0,0.0,0.0
25,2022-11-23 04:21:06,Brussels,Belgium,497416,0,-250018.0,0.0
25,2022-11-24 04:21:09,Brussels,Belgium,497416,0,0.0,0.0
25,2022-11-25 04:21:06,Brussels,Belgium,497917,0,501.0,0.0
25,2022-11-26 04:21:11,Brussels,Belgium,497917,0,0.0,0.0
25,2022-11-27 04:21:05,Brussels,Belgium,497917,0,0.0,0.0
25,2022-11-28 04:21:02,Brussels,Belgium,497917,0,0.0,0.0
25,2022-11-29 04:21:05,Brussels,Belgium,498395,0,478.0,0.0
25,2022-11-30 04:21:07,Brussels,Belgium,498395,0,0.0,0.0
26,2022-11-23 04:21:06,East Flanders,Belgium,626720,0,128325.0,0.0
26,2022-11-24 04:21:09,East Flanders,Belgium,626720,0,0.0,0.0
26,2022-11-25 04:21:06,East Flanders,Belgium,627115,0,395.0,0.0
26,2022-11-26 04:21:11,East Flanders,Belgium,627115,0,0.0,0.0
26,2022-11-27 04:21:05,East Flanders,Belgium,627115,0,0.0,0.0
26,2022-11-28 04:21:02,East Flanders,Belgium,627115,0,0.0,0.0
26,2022-11-29 04:21:05,East Flanders,Belgium,627467,0,352.0,0.0
26,2022-11-30 04:21:07,East Flanders,Belgium,627467,0,0.0,0.0
27,2022-11-23 04:21:06,Flemish Brabant,Belgium,452751,0,-174716.0,0.0
27,2022-11-24 04:21:09,Flemish Brabant,Belgium,452751,0,0.0,0.0
27,2022-11-25 04:21:06,Flemish Brabant,Belgium,453184,0,433.0,0.0
27,2022-11-26 04:21:11,Flemish Brabant,Belgium,453184,0,0.0,0.0
27,2022-11-27 04:21:05,Flemish Brabant,Belgium,453184,0,0.0,0.0
27,2022-11-28 04:21:02,Flemish Brabant,Belgium,453184,0,0.0,0.0
27,2022-11-29 04:21:05,Flemish Brabant,Belgium,453532,0,348.0,0.0
27,2022-11-30 04:21:07,Flemish Brabant,Belgium,453532,0,0.0,0.0
28,2022-11-23 04:21:06,Hainaut,Belgium,508589,0,55057.0,0.0
28,2022-11-24 04:21:09,Hainaut,Belgium,508589,0,0.0,0.0
28,2022-11-25 04:21:06,Hainaut,Belgium,508999,0,410.0,0.0
28,2022-11-26 04:21:11,Hainaut,Belgium,508999,0,0.0,0.0
28,2022-11-27 04:21:05,Hainaut,Belgium,508999,0,0.0,0.0
28,2022-11-28 04:21:02,Hainaut,Belgium,508999,0,0.0,0.0
28,2022-11-29 04:21:05,Hainaut,Belgium,509404,0,405.0,0.0
28,2022-11-30 04:21:07,Hainaut,Belgium,509404,0,0.0,0.0
29,2022-11-23 04:21:06,Liege,Belgium,412621,0,-96783.0,0.0
29,2022-11-24 04:21:09,Liege,Belgium,412621,0,0.0,0.0
29,2022-11-25 04:21:06,Liege,Belgium,412869,0,248.0,0.0
29,2022-11-26 04:21:11,Liege,Belgium,412869,0,0.0,0.0
29,2022-11-27 04:21:05,Liege,Belgium,412869,0,0.0,0.0
29,2022-11-28 04:21:02,Liege,Belgium,412869,0,0.0,0.0
29,2022-11-29 04:21:05,Liege,Belgium,413131,0,262.0,0.0
29,2022-11-30 04:21:07,Liege,Belgium,413131,0,0.0,0.0
30,2022-11-23 04:21:06,Limburg,Belgium,342560,0,-70571.0,0.0
30,2022-11-24 04:21:09,Limburg,Belgium,342560,0,0.0,0.0
30,2022-11-25 04:21:06,Limburg,Belgium,342814,0,254.0,0.0
30,2022-11-26 04:21:11,Limburg,Belgium,342814,0,0.0,0.0
30,2022-11-27 04:21:05,Limburg,Belgium,342814,0,0.0,0.0
30,2022-11-28 04:21:02,Limburg,Belgium,342814,0,0.0,0.0
30,2022-11-29 04:21:05,Limburg,Belgium,343031,0,217.0,0.0
30,2022-11-30 04:21:07,Limburg,Belgium,343031,0,0.0,0.0
31,2022-11-23 04:21:06,Luxembourg,Belgium,121029,0,-222002.0,0.0
31,2022-11-24 04:21:09,Luxembourg,Belgium,121029,0,0.0,0.0
31,2022-11-25 04:21:06,Luxembourg,Belgium,121121,0,92.0,0.0
31,2022-11-26 04:21:11,Luxembourg,Belgium,121121,0,0.0,0.0
31,2022-11-27 04:21:05,Luxembourg,Belgium,121121,0,0.0,0.0
31,2022-11-28 04:21:02,Luxembourg,Belgium,121121,0,0.0,0.0
31,2022-11-29 04:21:05,Luxembourg,Belgium,121192,0,71.0,0.0
31,2022-11-30 04:21:07,Luxembourg,Belgium,121192,0,0.0,0.0
32,2022-11-23 04:21:06,Namur,Belgium,199251,0,78059.0,0.0
32,2022-11-24 04:21:09,Namur,Belgium,199251,0,0.0,0.0
32,2022-11-25 04:21:06,Namur,Belgium,199410,0,159.0,0.0
32,2022-11-26 04:21:11,Namur,Belgium,199410,0,0.0,0.0
32,2022-11-27 04:21:05,Namur,Belgium,199410,0,0.0,0.0
32,2022-11-28 04:21:02,Namur,Belgium,199410,0,0.0,0.0
32,2022-11-29 04:21:05,Namur,Belgium,199549,0,139.0,0.0
32,2022-11-30 04:21:07,Namur,Belgium,199549,0,0.0,0.0
33,2022-11-23 04:21:06,Unknown,Belgium,62203,33027,-137346.0,33027.0
33,2022-11-24 04:21:09,Unknown,Belgium,62203,33027,0.0,0.0
33,2022-11-25 04:21:06,Unknown,Belgium,62246,33042,43.0,15.0
33,2022-11-26 04:21:11,Unknown,Belgium,62246,33042,0.0,0.0
33,2022-11-27 04:21:05,Unknown,Belgium,62246,33042,0.0,0.0
33,2022-11-28 04:21:02,Unknown,Belgium,62246,33042,0.0,0.0
33,2022-11-29 04:21:05,Unknown,Belgium,62294,33057,48.0,15.0
33,2022-11-30 04:21:07,Unknown,Belgium,62294,33057,0.0,0.0
34,2022-11-23 04:21:06,Walloon Brabant,Belgium,170388,0,108094.0,-33057.0
34,2022-11-24 04:21:09,Walloon Brabant,Belgium,170388,0,0.0,0.0
34,2022-11-25 04:21:06,Walloon Brabant,Belgium,170564,0,176.0,0.0
34,2022-11-26 04:21:11,Walloon Brabant,Belgium,170564,0,0.0,0.0
34,2022-11-27 04:21:05,Walloon Brabant,Belgium,170564,0,0.0,0.0
34,2022-11-28 04:21:02,Walloon Brabant,Belgium,170564,0,0.0,0.0
34,2022-11-29 04:21:05,Walloon Brabant,Belgium,170715,0,151.0,0.0
34,2022-11-30 04:21:07,Walloon Brabant,Belgium,170715,0,0.0,0.0
35,2022-11-23 04:21:06,West Flanders,Belgium,489557,0,318842.0,0.0
35,2022-11-24 04:21:09,West Flanders,Belgium,489557,0,0.0,0.0
35,2022-11-25 04:21:06,West Flanders,Belgium,489869,0,312.0,0.0
35,2022-11-26 04:21:11,West Flanders,Belgium,489869,0,0.0,0.0
35,2022-11-27 04:21:05,West Flanders,Belgium,489869,0,0.0,0.0
35,2022-11-28 04:21:02,West Flanders,Belgium,489869,0,0.0,0.0
35,2022-11-29 04:21:05,West Flanders,Belgium,490120,0,251.0,0.0
35,2022-11-30 04:21:07,West Flanders,Belgium,490120,0,0.0,0.0
36,2022-11-23 04:21:06,None,Belize,69012,688,-421108.0,688.0
36,2022-11-24 04:21:09,None,Belize,69012,688,0.0,0.0
36,2022-11-25 04:21:06,None,Belize,69012,688,0.0,0.0
36,2022-11-26 04:21:11,None,Belize,69012,688,0.0,0.0
36,2022-11-27 04:21:05,None,Belize,69012,688,0.0,0.0
36,2022-11-28 04:21:02,None,Belize,69012,688,0.0,0.0
36,2022-11-29 04:21:05,None,Belize,69048,688,36.0,0.0
36,2022-11-30 04:21:07,None,Belize,69048,688,0.0,0.0
37,2022-11-23 04:21:06,None,Benin,27922,163,-41126.0,-525.0
